"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"f13ed8940db57e335404ae6456723dd4","A-",3.0,"M"
"d9eeadb60027d6e035c7d80edfdd9a95","A",3.554666667,"M"
"6b7f3be79d40e18c30f1c4f00f4b61a0","A",3.799,"M"
"558fc99dc685608f1d9af5817a6922c4","C",2.333333333,"F"
"fd4155fc6a37aa015bc51b732c56980b","B",2.8,"M"
"62824b4eb30bcbafe489d102bd46c28f","C",2.9175,"M"
"556004a714271dc60608d730355c6604","B",3.266,"F"
"aa7d3684c49969218df15df77a264875","A-",3.468,"F"
"aa7d3684c49969218df15df77a264875","A-",0.0,"F"
"05204623391380d4b0b93ae7012add10","C+",3.201666667,"M"
"3fed3a0533038879321c5b6fd1cb84d5","A+",4.33,"F"
"00096996a3163715d7042b7cb8a291bd","B+",3.33,"F"
"48ce532e7b0ea5ac15cf1c11272ac26f","C",2.0,"M"
"2d67d37114c554454a655aa49b879240","B+",3.489333333,"F"
"1ee3d6d29cabcfd446d98b2d6d006a83","B-",2.308461538,"M"
"4c22b4321e3a30bff8b758a644c911d1","B+",3.165,"F"
"4c22b4321e3a30bff8b758a644c911d1","B+",3.152307692,"F"
"547b47819984e374719085f1c719e8e7","A",3.734,"M"
"c228a5658c796071aaad26a46f4872b9","A-",3.835,"M"
"87fdcc70d5ca3c9d8279c577b807c8e9","C",2.556666667,"M"
"87fdcc70d5ca3c9d8279c577b807c8e9","D",1.6675,"M"
"d1156828584dcd5a1cdfa2236184a88d","D",2.0,"M"
"23c804248a176e8806701d90d2424acb","B",3.39,"M"
"7c7c10b74f83df7997f1c29c92c68bda","C",2.556666667,"M"
"7c7c10b74f83df7997f1c29c92c68bda","F",1.0,"M"
"04a0f92092dfcfcaa605a173195332d1","C",2.6,"F"
"1e39cdcac50d078a00fc2de3f7968562","D",1.0,"F"
"85a8d5ba3dee834e6659cc84fb7c838b","D",2.022,"F"
"087c7908bc01fce254ef2f8781279bd4","B",3.6,"F"
"b04e42def6e4788e80f0b4692500fe52","W",1.2,"M"
"aa9b1d38999fce10623162e5d1f37246","C-",1.835,"F"
"07d3d1445853a52ee89fceda7cf770af","B-",2.945,"F"
"07d3d1445853a52ee89fceda7cf770af","D",2.932,"F"
"801f5bcd63c6ffa2cf2dd59295a371f4","B",3.235882353,"F"
"210e83dd67b982136f1db15f90b643cc","B+",2.266,"F"
"210e83dd67b982136f1db15f90b643cc","D",3.306923077,"F"
"b93531a60a5dc0b8cc4512165d9e27b9","B",3.046428571,"M"
"021e8eae0015c2e21c6793f4a111bd1d","B",2.396875,"M"
"a78707c29b805cda055f47b77d69ba82","A",3.564615385,"F"
"6ee82e6e912b84bbbc1d9572072e05c2","B-",2.556666667,"F"
"5d49f1fde1bd32a7c0462a8fd4f35d55","B-",1.835,"M"
"84654324f9cd0b5535937e8824bca930","A",3.278333333,"F"
"08c661ebb69bad7666d7a8ab7b5179b0","B+",3.519375,"M"
"a4bd9321eb0a0122ecff45b979efc54c","A-",3.614615385,"M"
"107ee4d8ad2549e940fde1d98267032d","C",2.230769231,"F"
"107ee4d8ad2549e940fde1d98267032d","WP",0.0,"F"
"107ee4d8ad2549e940fde1d98267032d","D",1.460769231,"F"
"39bdc93133f157bc3c74f7cd1f252323","A-",3.78,"M"
"df91eb727c84c856441a2ad817a6ea1a","A",3.68625,"F"
"b8e4d0cbdd2b32e9ae03e96c2f497b5b","A",3.584166667,"F"
"40489029bab43581f6c17d9d72fa4260","C-",2.145625,"M"
"89e1b90efaf01b021ac56c4add389593","C",3.165,"F"
"89e1b90efaf01b021ac56c4add389593","C",3.165,"F"
"89e1b90efaf01b021ac56c4add389593","D",0.5,"F"
"89e1b90efaf01b021ac56c4add389593","D",0.5,"F"
"f9afa92c1df282162e12c958672f0a2d","B",2.768461538,"F"
"5c3f54d30691b00a0157a1358ee6f8ab","B-",2.1675,"M"
"05718f3662a9e1a3c2e18ca13662c87b","B+",3.307692308,"M"
"79fc261462968b5930a18b17b607bdc2","B+",2.331666667,"F"
"d30c1fa476b71fd3e3e8148e0775352c","B",3.165,"F"
"89d95508ec8bfa821bc71f5c2174fc7b","C",2.382857143,"M"
"89d95508ec8bfa821bc71f5c2174fc7b","D",2.356428571,"M"
"89d95508ec8bfa821bc71f5c2174fc7b","D",2.356428571,"M"
"ffb700d3496227cb6b5aea8ad42f8179","D",0.428571429,"F"
"ffb700d3496227cb6b5aea8ad42f8179","D",0.5,"F"
"40929745022698e608a1e1b210949656","A+",4.165,"F"
"d57844170f8cce8d705ed12af19b1ded","C",2.0,"F"
"c493d272e9838d49cd034d38b288ddff","B",3.6675,"M"
"fd0e22baf936c0cd9dba9d5eac4c3b75","B",3.0,"M"
"fd0e22baf936c0cd9dba9d5eac4c3b75","B",3.0,"M"
"d628c09f6541b90876c17367b5d3dc9c","A",3.5825,"F"
"80aa57757848380d0bb697e1f2631d18","B-",3.286428571,"M"
"526264369bb1064e1fa9efdc78d2587d","F",1.334,"F"
"b844f94ee93a3925b578b3e36d8d6fc0","B",3.294117647,"M"
"b9cf79dd2dc4a661868fa8cb224eb97c","B",2.899230769,"M"
"90ad4ce025244f08a266438fb95000b9","C-",3.04125,"M"
"dc44c14fb604dc3b4b775a285fcfa357","C",1.5825,"F"
"d95ebd4348d888bae00bfc6cad96f824","A-",4.0,"M"
"cbe5a4d9c5c8191bb96012f893136fbd","C+",2.83,"F"
"d0849403b89063a221acde6289eb5d07","C",2.399,"M"
"9092395f9e710f953cf7923a98248d23","B",3.556666667,"M"
"f96c7af0c03ab8348a397d25a52112b5","W",0.0,"M"
"f96c7af0c03ab8348a397d25a52112b5","W",0.0,"M"
"d8e18be69adc33a1f5ef889e1070605e","A",3.480625,"M"
"d8e18be69adc33a1f5ef889e1070605e","A",3.468,"M"
"724e0f36fdb17817a966784fb90b5b15","A",0.0,"M"
"724e0f36fdb17817a966784fb90b5b15","A",4.0,"M"
"04d9d492ea7ddd5c6bd4607c5cd9b61f","C",2.110666667,"M"
"4ecd166b6bd368517d043445093656ef","A-",2.734,"M"
"7dd6711fae5f6b00f1426185a851d58b","A-",3.78,"F"
"74f0c5e07eaff6934545ad6abb489fe1","B+",3.778333333,"F"
"f7ef9acbce75ee3f24f91a008ff199f5","C",2.572857143,"F"
"7d36d6ee0d052a671a5dc12bdc7258f1","B",2.835,"F"
"07b501b025d67756d4fffb75ac93dedb","C+",3.117647059,"F"
"bc0c50686b1fc5c640bf7e3605b62eb6","B",3.25,"M"
"5aa26f87fab3514d5282193c992cf3b0","B",3.334,"M"
"5aa26f87fab3514d5282193c992cf3b0","D",3.25,"M"
"e8cd5a0538ef2f8e66b5041fcb546ff3","B",2.602,"M"
"91fbfd0fbc24d13f7fe8f89003c2d659","C",2.8325,"F"
"76323d6cd85ab20164503151fc878427","A+",3.998,"F"
"d4f90a9c275268f8b95cad465d3928e9","D+",1.665,"M"
"d4f90a9c275268f8b95cad465d3928e9","D",0.8325,"M"
"171e51127bf7c99614b47132a39649e9","B-",2.50125,"F"
"2086a67575abd51d120b62a903a0265b","C-",2.0,"F"
"2086a67575abd51d120b62a903a0265b","B",2.0,"F"
"e48f6f9d62de2b15837cf2abd1832ddc","C",2.6,"F"
"1715f98f75efddb95b5aec3503f7cd00","C",2.946923077,"F"
"4c91c9c6fbb5c9c080c9eef817a9a371","A",3.436153846,"M"
"604d13b8afd8809b4aaf6e7e308d18ba","C",4.0,"F"
"604d13b8afd8809b4aaf6e7e308d18ba","C",1.8325,"F"
"8a0ea24112b40265b9816ce4b7630796","C+",2.33,"F"
"ea7e8ce1b9d8f7cb65e414b624e9f999","B",3.4175,"M"
"c101ca0cafb4308cf3341f350ac73f56","WP",2.402,"M"
"c101ca0cafb4308cf3341f350ac73f56","B-",2.402,"M"
"686bc5665e61119e9eba528fdae24cbd","B-",3.665,"M"
"69ab1d6d833b78339ef5207d3380568a","A-",3.566153846,"M"
"2ff50d7d0191fd0bbcf8ba524545fc12","C",2.333125,"F"
"0e8a27a456a6608785e4d3133bc6b3ed","F",0.0,"M"
"89baf8da975c1ca633ce43ffb7bda922","F",0.666666667,"M"
"89baf8da975c1ca633ce43ffb7bda922","F",1.335,"M"
"b2ecf11641406ee3dc53fef00de66f91","F",1.0,"F"
"e3ff07002ffc19e104ee5255871269a9","D",2.75125,"M"
"5ef2b21a89dc5475abadbde6a3e54228","A+",3.311875,"F"
"38a65fb61795ee119dd604da3813c381","B",2.466,"F"
"af5570d5227ada39ffb80c35bba99935","B",3.915,"F"
"c546b44d26497eeaeadad13ca3c217fb","WP",0.0,"M"
"c546b44d26497eeaeadad13ca3c217fb","F",0.0,"M"
"695d1a70a04d081aa38a9b08fada15ca","A",4.064,"F"
"67c8ac3604aaf33a681378cf03aff277","A",3.186875,"F"
"aee5bf2db36efa668fe60d6324fe5d96","A+",3.176923077,"M"
"bd5e340b5678c3f043fbe33223b675b7","B",2.6675,"M"
"4883d3f5879a3d81ade8787728a6162c","A",2.734,"M"
"4883d3f5879a3d81ade8787728a6162c","A",2.734,"M"
"7145ee62ca41d7b834e5d4487453dba1","A-",3.113333333,"M"
"5112ac79ccc83b1d42ad8fcfa1b3b207","WP",0.0,"F"
"693f4ae8daf39f1172e85f0cbe7fdbda","W",2.420666667,"M"
"206183dd598969e63ad6497b4217b82f","B",3.0,"M"
"2eabf497e9999c4510df60438e382410","B+",2.466,"M"
"1e8d7f3d25e249b7cd30c3a574cbca17","W",3.134,"F"
"3fd90a4eaeb031d7cdde915af24b9cae","W",0.0,"M"
"fe9772b62d66a35d27b07463c521fc37","C",2.0,"F"
"d4c8e0b2a897891f3f6fad9610413f1c","C",1.539230769,"M"
"b8132edce355d8b14f96c785471beeb8","WP",3.085,"F"
"b8132edce355d8b14f96c785471beeb8","C",3.085,"F"
"b4bb2a4657e7650ddba596849e64cac1","B",2.99875,"M"
"b3492b5d7b3eddf1451ab98ad5418c85","F",0.306923077,"M"
